"Title","Genre","Director","Writer","Actors","View Rating"
"All Hail King Julien: Exiled","Animation",NA,"Tom McGrath","Andy Richter","TV-Y7"
"Get Me Roger Stone","Documentary","Morgan Pehme","Morgan Pehme","Paul Manafort","TV-14"
"Anne with an E","Drama",NA,"Moira Walley-Beckett","Geraldine James","TV-PG"
"Robinson Crusoe","Adventure","George Miller","Christopher Lofton","Polly Walker","PG-13"
"Deepwater Horizon","Action","Peter Berg","David Rohde","Douglas M. Griffin","PG-13"
"Michael","Comedy","Nora Ephron","Nora Ephron","John Travolta","PG"
"Bbuddah Hoga Terra Baap","Action","Puri Jagannadh","Inaamulhaq","Hema Malini","NotRated"
"Gabbar Is Back","Action","Radha Krishna Jagarlamudi","D.S. Kannan","Kareena Kapoor","NotRated"
"Norm Macdonald: Hitlers Dog, Gossip and Trickery","Documentary","Liz Plonka","Norm MacDonald","Norm MacDonald",NA
"Spirit Riding Free","Animation",NA,"Aury Wallington","Bailey Gambertoglio","TV-Y7"
"The Mars Generation","Documentary","Michael Barnett","Michael Mahaffie","Niko Blanks",NA
"Finding Mr. Right","Comedy","Xiaolu Xue","Xiaolu Xue","Xiubo Wu","PG-13"
"The Client","Crime","Joel Schumacher","John Grisham","Tommy Lee Jones","PG-13"
"NEKOMONOGATARI -Black-","Animation",NA,NA,"Takahiro Sakurai",NA
"Hacksaw Ridge","Biography","Mel Gibson","Andrew Knight","Milo Gibson","R"
"Maria Bamford: Old Baby","Documentary","Jessica Yu","Ivana Shein","Maria Bamford","TV-MA"
"Malibus Most Wanted","Comedy","John Whitesell","Fax Bahr","Anthony Anderson","PG-13"
"Pyaar Ka Punchnama 2","Comedy","Luv Ranjan","Rahul Mody","Kartik Aaryan","NotRated"
"Torque","Action","Joseph Kahn","Matt Johnson","Max Beesley","PG-13"
"Gascoigne","Documentary","Jane Preston","Jane Preston","Vinnie Jones",NA
"Lucia de B.","Biography","Paula van der Oest","Tijs van Marle","Reinout Bussemaker",NA
"Wendy","Drama",NA,NA,"Meaghan Martin",NA
"Shaitan","Action","Bejoy Nambiar","Bejoy Nambiar","Rajeev Khandelwal","NotRated"
"Drishyam","Crime","Nishikant Kamat","Raaju Bonagaani","Ajay Devgn","NotRated"
"Bombay Talkies","Drama","Anurag Kashyap","Karan Johar","Saqib Saleem","NotRated"
"Tanu Weds Manu","Comedy","Aanand L. Rai","Himanshu Sharma","Jimmy Sheirgill","NotRated"
"Budhia Singh: Born to Run","Biography","Soumendra Padhi","Soumendra Padhi","Tillotama Shome","NotRated"
"Kahaani","Mystery","Sujoy Ghosh","Sujoy Ghosh","Parambrata Chattopadhyay","NotRated"
"The Wishing Tree","Drama","Tengiz Abuladze","Tengiz Abuladze","Kote Daushvili",NA
"Fire in the Blood","Documentary","Dylan Mohan Gray","Dylan Mohan Gray","William Hurt",NA
"Embrace","Documentary","Taryn Brumfitt","Taryn Brumfitt","Renee Airya","TV-PG"
"Dear White People","Comedy","Justin Simien","Justin Simien","Tyler James Williams","R"
"Casting JonBenet","Documentary","Kitty Green","Kitty Green","Liv Bagley","TV-14"
"Inspiring Generation","Action",NA,NA,"Jae-rim Song",NA
"President","Comedy","Rob Reiner","Aaron Sorkin","Michael J. Fox","PG-13"
"Southside With You","Biography","Richard Tanne","Richard Tanne","Vanessa Bell Calloway","PG-13"
"A Tale of Love and Darkness","Biography","Natalie Portman","Amos Oz","Moni Moshonov","PG-13"
"Vir Das: Abroad Understanding","Comedy","Marcus Raboy","Vir Das","Vir Das","TV-MA"
"Shepherds and Butchers","Drama","Oliver Schmitz","Brian Cox","Carel Nel","R"
"Dear Zindagi","Drama","Gauri Shinde","Gauri Shinde","Kunal Kapoor","NotRated"
"The Great British Baking Show: Masterclass","Reality-TV",NA,NA,"Mary Berry","TV-PG"
"Sand Castle","Action","Fernando Coimbra","Chris Roessner","Tommy Flanagan","TV-MA"
"Tramps","Comedy","Adam Leon","Adam Leon","Callum Turner",NA
"Hot Girls Wanted: Turned On","Documentary",NA,NA,"Lily Cade","TV-MA"
"Girlboss","Comedy",NA,"Kay Cannon","Ellie Reed","TV-MA"
"Little Boxes","Comedy","Rob Meyer","Annie J. Howell","Melanie Lynskey","NotRated"
"Zipang","Animation",NA,NA,"Roland Angelo Crisolo","TV-PG"
"White Night","Mystery","Shin-woo Park","Shin-woo Park","Son Ye-Jin",NA
"D.E.B.S.","Action","Angela Robinson","Angela Robinson","Devon Aoki","PG-13"
"Bottom of the World","Drama","Richard Sears","David Kowalski","Tamara Duarte","NotRated"
"A Plastic Ocean","Documentary","Craig Leeson","Craig Leeson","Craig Leeson",NA
"A Street Cat Named Bob","Biography","Roger Spottiswoode","Garry Jenkins","Luke Treadaway","NotRated"
"The Light Between Oceans","Drama","Derek Cianfrance","Derek Cianfrance","Florence Clery","PG-13"
"A Cinderella Story: If the Shoe Fits","Family","Michelle Johnston","Leigh Dunlap","Thomas Law","PG"
"Slam","Drama","Marc Levin","Marc Levin","Lawrence Wilson","R"
"The Wedding Party","Action","Dominique Deruddere","Hermann Huppen","Uwe Ochsenknecht","NotRated"
"Gone Too Far","Comedy","Destiny Ekaragha","Bola Agbaje","Bhasker Patel",NA
"Mystery Science Theater 3000: The Return","Comedy",NA,"Joel Hodgson","Patton Oswalt","TV-14"
"Sandy Wexler","Comedy","Steven Brill","Adam Sandler","Jennifer Hudson","TV-14"
"Bugsy","Biography","Barry Levinson","Dean Jennings","Annette Bening","R"
"Kevin Hart: What Now?","Documentary","Leslie Small","Harry Ratchford","Don Cheadle","R"
"Before I Wake","Drama","Mike Flanagan","Jeff Howard","Thomas Jane","PG-13"
"Kubo and the Two Strings","Animation","Travis Knight","Marc Haimes","Cary-Hiroyuki Tagawa","PG"
"Win It All","Comedy","Joe Swanberg","Jake Johnson","Morgan Ng","TV-MA"
"Louis C.K. 2017","Comedy","Louis C.K.","Louis C.K.","Louis C.K.","TV-MA"
"Paradise Kiss","Drama","Takehiko Shinjo","Ai Yazawa","Kento Kaku",NA
"Prison School","Animation",NA,NA,"Daisuke Namikawa","TV-MA"
"Food Wars!: Shokugeki no Soma","Animation",NA,NA,"Yoshitsugu Matsuoka","TV-14"
"Mary Shelleys Frankenstein","Drama","Kenneth Branagh","Frank Darabont","Kenneth Branagh","R"
"Ich Seh Ich Seh","Horror","Severin Fiala","Severin Fiala","Elias Schwarz","R"
"Kingdom","Drama",NA,"Byron Balasco","Kiele Sanchez","TV-MA"
"Princess Hours","Comedy",NA,NA,"Ji-Hyo Song","TV-Y"
"Tokyo Ghoul: Jack","Animation","Soichi Shimada",NA,"Rumi Okubo","TV-MA"
"Hoff the Record","Comedy",NA,"Krishnendu Majumdar","Mark Quartley",NA
"Legend of the Prince","Biography",NA,NA,"Il-guk Song","TV-Y"
"Pretty Cure All Stars New Stage: Echo of Heart","Animation","Junji Shimizu",NA,"Atsuko Enomoto","TV-Y7-FV"
"Reply 1994","Comedy",NA,NA,"Woo Jung",NA
"The Tenth Man","Comedy","Daniel Burman","Daniel Burman","Usher Barilka","Unrated"
"Mechanic: Resurrection","Action","Dennis Gansel","Lewis John Carlino","Tommy Lee Jones","R"
"Benvenuti al sud","Comedy","Luca Miniero","Franck Magnier","Alessandro Siani",NA
"Trauma","Horror","Dario Argento","Ruth Jessup","Asia Argento","R"
"Beyond All Boundaries","Short","David Briggs","Chris Ellis","Kevin Connolly",NA
"Barely Lethal","Action","Kyle Newman","John D'Arco","Samuel L. Jackson","PG-13"
"Little Women","Drama","Gillian Armstrong","Robin Swicord","Trini Alvarado","PG"
"It Could Happen to You","Comedy","Andrew Bergman","Jane Anderson","Nicolas Cage","PG"
"First Knight","Action","Jerry Zucker","William Nicholson","Richard Gere","PG-13"
"Oasis: Supersonic","Documentary","Mat Whitecross",NA,"Debbie Turner","R"
"Joe Cocker: Mad Dog with Soul","Documentary","John Edginton","John Edginton","Ray Charles",NA
"The Night Shift","Drama",NA,"Jeff Judah","Eoin Macken","TV-14"
"Nerve","Adventure","Henry Joost","Jeanne Ryan","Emily Meade","PG-13"
"Rooney: The Man Behind The Goals","Documentary","Tim MacKenzie-Smith",NA,"Coleen Rooney",NA
"Little Children","Drama","Todd Field","Tom Perrotta","Jackie Earle Haley","R"
"Special Forces: Ultimate Hell Week","Documentary",NA,NA,"Danny Bent",NA
"13 Reasons Why","Drama",NA,"Brian Yorkey","Christian Navarro","TV-MA"
"The Discovery","Drama","Charlie McDowell","Justin Lader","Mary Steenburgen","TV-MA"
"Bordertown","Crime","Gregory Nava","Gregory Nava","Jennifer Lopez","R"
"Five Came Back","Adventure","John Farrow","Richard Carroll","Lucille Ball","Passed"
"Fear Dot Com","Crime","William Malone","Moshe Diamant","Udo Kier","R"
"Christine","Horror","John Carpenter","Stephen King","Alexandra Paul","R"
"The Natural","Drama","Barry Levinson","Bernard Malamud","Glenn Close","PG"
"Under Suspicion","Crime","Stephen Hopkins","John Wainwright","Thomas Jane","R"
"Timeless","Action",NA,"Shawn Ryan","Matt Lanter","TV-14"
"Half Past Dead","Action","Don Michael Paul","Don Michael Paul","Steven Seagal","PG-13"
"Blue Thunder","Action","John Badham","Dan O'Bannon","Roy Scheider","R"
"The Quick and the Dead","Action","Sam Raimi","Simon Moore","Sharon Stone","R"
"The Remains of the Day","Drama","James Ivory","Kazuo Ishiguro","Christopher Reeve","PG"
"The Squid and the Whale","Comedy","Noah Baumbach","Noah Baumbach","Jeff Daniels","R"
"The Next Karate Kid","Action","Christopher Cain","Robert Mark Kamen","Hilary Swank","PG"
"The Professionals","Action","Richard Brooks","Richard Brooks","Robert Ryan","PG-13"
"Short Circuit 2","Comedy","Kenneth Johnson","S.S. Wilson","Cynthia Gibb","PG"
"Chesapeake Shores","Drama",NA,"Nancey Silvers","Meghan Ory","TV-PG"
"Shut In","Drama","Farren Blackburn","Christina Hodson","Oliver Platt","PG-13"
"conjuring 2","Horror","James Wan","Chad Hayes","Frances O'Connor","R"
"Jo Koy: Live from Seattle","Comedy","Shannon Hartman","Jo Koy","Jo Koy",NA
"USS Indianapolis: Men of Courage","Action","Mario Van Peebles","Cam Cannon","Nicolas Cage","R"
"Wolf Girl and Black Prince","Animation",NA,NA,"Yoshimasa Hosoya","TV-14"
"Wakako Zake","Comedy",NA,NA,"Yoshihiro Nozoe",NA
"Barbapapa","Animation",NA,"Annette Tison","Ricet Barrier",NA
"Paranormal Activity 4","Horror","Henry Joost","Christopher Landon","Aiden Lovekamp","R"
"The C Word","Drama","Tim Kirkby","Lisa Lynch","Stephanie Vogt",NA
"Dave Chappelle","Comedy","Stan Lathan","Dave Chappelle","Dave Chappelle","TV-MA"
"Straight Outta Compton","Biography","F. Gary Gray","S. Leigh Savidge","Neil Brown Jr.","R"
"Howards End","Drama","James Ivory","E.M. Forster","Emma Thompson","PG"
"Come and Find Me","Drama","Zack Whedon","Zack Whedon","Chris Chalk","R"
"Train to Busan","Action","Sang-ho Yeon","Joo-Suk Park","Gong Yoo","NotRated"
"Best Worst Thing That Ever Could Have Happened","Documentary","Lonny Price","Lonny Price","David Cady",NA
"Mononoke","Animation",NA,NA,"Takahiro Sakurai","TV-MA"
"Nodame Cantabile Paris","Comedy","Hideki Takeuchi","Rin Eto","Juri Ueno",NA
"Nodame Cantabile Finale","Comedy","Yasuhiro Kawamura","Rin Eto","Juri Ueno",NA
"Bakuman.","Animation",NA,NA,"Jun'ichi Suwabe",NA
"Star Trek Beyond","Action","Justin Lin","Doug Jung","Chris Pine","PG-13"
"Marvels Iron Fist","Action",NA,"Scott Buck","Finn Jones","TV-MA"
"Deidra and Laney Rob a Train","Comedy","Sydney Freeland","Shelby Farrell","Rachel Crow","TV-14"
"Pandora","Action","Jong-woo Park","Jung-Woo Park","Do-bin Baek","NotRated"
"Outback Truckers","Documentary",NA,NA,"Luke Hewitt",NA
"Naledi: A Baby Elephants Tale","Documentary","Geoffrey Luck",NA,NA,NA
"Samurai Gourmet","Adventure",NA,NA,"Tetsuji Tamayama",NA
"Crime Files: The Homefront","Crime",NA,NA,"Roger Leopardi",NA
"Blair Witch","Horror","Adam Wingard","Simon Barrett","Callie Hernandez","R"
"Cheer Squad","Reality-TV",NA,NA,"Ali Moffatt",NA
"Trainwreck","Comedy","Judd Apatow","Amy Schumer","Amy Schumer","R"
"Police Academy 2: Their First Assignment","Comedy","James Signorelli","Neal Israel","David Graf","PG-13"
"Naruto Shippuden: Road to Ninja","Animation","Hayato Date","Masahiro Hikokubo","Emi Shinohara","TV-14"
"Naruto Shippuden: The Movie: The Lost Tower","Animation","Masahiko Murata","Masashi Kishimoto","Rikiya Koyama","TV-PG"
"A Murder in the Park","Documentary","Shawn Rech","Brandon Kimber","Dexter Hammett","PG-13"
"Sunrise","Drama","F.W. Murnau","H.H. Caldwell","Margaret Livingston","Passed"
"Notes on Blindness","Documentary","James Spinney","James Spinney","Marilyn Hull",NA
"Jim Norton: Mouthful of Shame","Comedy","Shannon Hartman","Jim Norton","Jim Norton","TV-MA"
"Cross Game","Animation",NA,"Mitsuru Adachi","Miyu Irino",NA
"Chibi Maruko-chan Movie","Animation",NA,NA,NA,NA
"Ping Pong the Animation","Animation",NA,NA,"Alan Chow","TV-14"
"MAJOR","Animation",NA,NA,"Kana Hanazawa",NA
"Keanu","Action","Peter Atencio","Alex Rubens","Method Man","R"
"Gods of Egypt","Action","Alex Proyas","Burk Sharpless","Brenton Thwaites","PG-13"
"Now You See Me 2","Action","Jon M. Chu","Edward Ricourt","Dave Franco","PG-13"
"Hello, My Name Is Doris","Comedy","Michael Showalter","Michael Showalter","Sally Field","R"
"Concussion","Biography","Peter Landesman","Jeanne Marie Laskas","Albert Brooks","PG-13"
"Ricki and the Flash","Comedy","Jonathan Demme","Diablo Cody","Meryl Streep","PG-13"
"Mr. Six","Action","Hu Guan","Runnian Dong","Hanyu Zhang","PG-13"
"Burning Sands","Drama","Gerard McMurray","Christine T. Berg","Alfre Woodard","TV-MA"
"Buddy Thunderstruck","Animation",NA,"Ryan Wiesbrock","Debi Derryberry","TV-PG"
"Thithi","Drama","Raam Reddy","Eregowda","Pooja S.M.",NA
"Into the Badlands","Action",NA,"Alfred Gough","Emily Beecham","TV-14"
"The Bodyguard","Action","Mick Jackson","Lawrence Kasdan","Gary Kemp","R"
"Greenleaf","Drama",NA,"Craig Wright","Merle Dandridge","TV-14"
"Clangers","Animation",NA,NA,"Michael Palin",NA
"The Teachers Diary","Comedy","Nithiwat Tharatorn","Thodsapon Thiptinnakorn","Chutima Teepanat",NA
"Hap and Leonard","Crime",NA,"Nick Damici","Michael Kenneth Williams","TV-MA"
"One Punch Man","Animation",NA,NA,"Kaito Ishikawa","TV-PG"
"Independence Day: Resurgence","Action","Roland Emmerich","James Vanderbilt","Jessie T. Usher","PG-13"
"X-Men: Apocalypse","Action","Bryan Singer","Dan Harris","Jennifer Lawrence","PG-13"
"A Frozen Flower","Drama","Ha Yoo","Ha Yoo","In-Sung Jo",NA
"Ultra Fight Victory","Action",NA,NA,"Nicholas Adam Clark",NA
"The City of Violence","Action","Seung-wan Ryoo","Won-jae Lee","Kil-kang Ahn",NA
"Japanese Style Originator","Talk-Show",NA,NA,"Takahiro Azuma",NA
"Public Enemy Returns","Action","Woo-Suk Kang","Woo-Suk Kang","Jung-shik Bae","NotRated"
"A Hologram for the King","Comedy","Tom Tykwer","Tom Tykwer","Sarita Choudhury","R"
"Jason X","Action","James Isaac","Todd Farmer","Lexa Doig","R"
"Nisemonogatari","Animation",NA,NA,"Eri Kitamura","TV-MA"
"Kenshin OAV Tsuioku Hen","Animation",NA,NA,"Nozomu Sasaki","TV-MA"
"Tong: Memories","Drama",NA,NA,"Hak-joo Lee",NA
"Jimmy Vestvood: Amerikan Hero","Comedy","Jonathan Kesselman","Amir Ohebsion","Deanna Russo","TV-MA"
"Office","Comedy","Johnnie To","Sylvia Chang","Sylvia Chang",NA
"Twenty","Comedy","Byeong-heon Lee","Byeong-heon Lee","Kang Ha-Neul","R"
"Nila","Drama","Selvamani Selvaraj",NA,"Sruthi Hariharan",NA
"Tiger","Action","Ang Lee","Hui-Ling Wang","Yun-Fat Chow","PG-13"
"Ordinary World","Comedy","Lee Kirk","Lee Kirk","Billie Joe Armstrong","NotRated"
"Mike Birbiglia: Thank God for Jokes","Comedy","Mike Birbiglia","Mike Birbiglia","Mike Birbiglia",NA
"Grand Designs","Documentary",NA,NA,"Kevin McCloud","TV-G"
"Anohana: The Flower We Saw That Day","Animation",NA,NA,"Haruka Tomatsu","TV-PG"
"Tokyo Magnitude 8.0","Animation",NA,NA,"Yumiko Kobayashi","TV-14"
"Force 2","Action","Abhinay Deo","Parveez Sheikh","John Abraham","NotRated"
"Mike and Dave Need Wedding Dates","Comedy","Jake Szymanski","Andrew Jay Cohen","Aubrey Plaza","R"
"Midnight Special","Drama","Jeff Nichols","Jeff Nichols","Adam Driver","PG-13"
"I Dont Feel at Home in This World Anymore","Comedy","Macon Blair","Macon Blair","Melanie Lynskey","TV-MA"
"Sausage Party","Animation","Conrad Vernon","Seth Rogen","Michael Cera","R"
"The Lovers and the Despot","Documentary","Robert Cannan","Robert Cannan","Paul Courtenay Hyu","Unrated"
"Trevor Noah: Afraid of the Dark","Comedy","David Paul Meyer","Trevor Noah","Trevor Noah","TV-MA"
"Growing Up Wild",NA,NA,NA,"Edie Falco","TV-G"
"Miracles from Heaven","Biography","Patricia Riggen","Christy Beam","Kylie Rogers","PG"
"The International","Action","Tom Tykwer","Eric Warren Singer","Ulrich Thomsen","R"
"Gantz:O","Animation","Kei'ichi Sato","Hiroya Oku","Tony Azzolino",NA
"Sungkyukwan Scandal","Comedy",NA,NA,"Park Min-Young","TV-Y"
"Rocky Handsome","Action","Nishikant Kamat","Ritesh Shah","John Abraham","NotRated"
"The BFG","Adventure","Steven Spielberg","Roald Dahl","Penelope Wilton","PG"
"127 Hours","Adventure","Danny Boyle","Aron Ralston","Amber Tamblyn","R"
"Life, Animated","Documentary","Roger Ross Williams","Emily Hubley","Ron Suskind","PG"
"Katherine Ryan: In Trouble","Comedy","Colin Dench","Katherine Ryan","Katherine Ryan","TV-MA"
"Miraculous: Tales of Ladybug and Cat Noir","Animation",NA,NA,"Cristina Valenzuela","TV-Y7"
"Abstract: The Art of Design","Documentary",NA,NA,"Cas Holman","TV-14"
"Middle School: The Worst Years of My Life","Animation","Steve Carr","Kara Holden","Alexa Nisenson","PG"
"You Me Her","Comedy",NA,"John Scott Shepherd","Greg Poehler","TV-MA"
"David Brent: Life on the Road","Comedy","Ricky Gervais","Ricky Gervais","Rob Jarvis",NA
"Hitler - A Career","Documentary","Joachim Fest","Joachim Fest","General Bergeret","NotRated"
"Batman: The Killing Joke","Animation","Sam Liu","Brian Azzarello","Mark Hamill","R"
"The Darkness","Horror","Greg McLean","Shayne Armstrong","David Mazouz","PG-13"
"Blinky Bill: The Movie","Animation","Deane Taylor","Fin Edquist","Charlotte Rose Hamlyn","PG"
"Sao du","Action","Benny Chan","Chun Wong","Louis Koo","R"
"The Invasion","Sci-Fi","James McTeigue","Jack Finney","Jackson Bond","PG-13"
"Imperial Dreams","Drama","Malik Vitthal","Ismet Prcic","Glenn Plummer",NA
"Santa Clarita Diet","Comedy",NA,"Victor Fresco","Skyler Gisondo","TV-MA"
"Silver Spoon","Comedy","Keisuke Yoshida","Hiromu Arakawa","Tomohiro Ichikawa",NA
"Ted 2","Comedy","Seth MacFarlane","Wellesley Wild","Amanda Seyfried","R"
"Manhattan Murder Mystery","Comedy","Woody Allen","Marshall Brickman","Lynn Cohen","PG"
"Hwayi: A Monster Boy","Action","Joon-Hwan Jang","Joo-Suk Park","Kim Yoon-seok","NotRated"
"Belle and Sebastian","Documentary","R.J. Bentler",NA,"Isobel Campbell",NA
"Pixels","Action","Chris Columbus","Timothy Dowling","Peter Dinklage","PG-13"
"Pitch Perfect 2","Comedy","Elizabeth Banks","Mickey Rapkin","Rebel Wilson","PG-13"
"Naruto Shippuden : Blood Prison","Animation","Masahiko Murata","Masashi Kishimoto","Rikiya Koyama","TV-14"
"Black Sea","Action","Kevin Macdonald","Dennis Kelly","Karl Davies","R"
"Paul Blart: Mall Cop 2","Action","Andy Fickman","Nick Bakay","Daniella Alonso","PG"
"City of Angels","Drama","Brad Silberling","Richard Reitinger","Nicolas Cage","PG-13"
"Haraamkhor","Drama","Shlok Sharma","Shlok Sharma","Mohammad Samad",NA
"Happy New Year","Action","Farah Khan","Mayur Puri","Anurag Kashyap","NotRated"
"Equals","Drama","Drake Doremus","Drake Doremus","Scott Lawrence","PG-13"
"Dilwale","Action","Rohit Shetty","Yunus Sajawal","Varun Dhawan","NotRated"
"The Sound of Your Heart","Comedy",NA,NA,"Dae-Myung Kim",NA
"Scarlet Heart: Ryeo","Drama",NA,NA,"Kang Ha-Neul",NA
"Bill Burr: Walk Your Way Out","Comedy","Jay Karas","Bill Burr","Bill Burr","TV-MA"
"Kingsglaive: Final Fantasy XV","Animation","Takeshi Nozue","Takashi Hasegawa","Adrian Bouchet","PG-13"
"Trouble with the Curve","Drama","Robert Lorenz","Randy Brown","Ed Lauter","PG-13"
"The People vs. Larry Flynt","Biography","Milos Forman","Larry Karaszewski","Edward Norton","R"
"Riverdale","Crime",NA,"Roberto Aguirre-Sacasa","K.J. Apa","TV-14"
"iBOY","Action","Adam Randall","Joe Barton","Bill Milner","TV-MA"
"Cold Eyes","Action","Byung-seo Kim","Nai-Hoi Yau","Jun-Ho Lee","NotRated"
"As One","Drama","Hyun-Sung Moon","Hyun-Sung Moon","Yoon-young Choi","PG-13"
"Head Full of Honey","Comedy","Lars Gmehling","Hilly Martinek","Marco Boriero",NA
"Cellular","Action","David R. Ellis","Chris Morgan","Caroline Aaron","PG-13"
"Frontier","Adventure",NA,"Rob Blackie","Jason Momoa","TV-MA"
"Batman v Superman: Dawn of Justice","Action","Zack Snyder","William Moulton Marston","Amy Adams","PG-13"
"Pink","Drama","Aniruddha Roy Chowdhury","Shoojit Sircar","Kirti Kulhari","NotRated"
"Blood","Drama",NA,NA,"Ku Hye-Sun",NA
"Neal Brennan: 3 Mics","Comedy","Neal Brennan","Neal Brennan","Neal Brennan","TV-MA"
"The Wraith","Action","Mike Marvin","Mike Marvin","Charlie Sheen","PG-13"
"Blind Detective","Comedy","Johnnie To","Nai-Hoi Yau","Sammi Cheng",NA
"We Are Young. We Are Strong.","Crime","Burhan Qurbani","Burhan Qurbani","Joel Basman",NA
"A Series of Unfortunate Events","Adventure",NA,NA,"Malina Weissman","TV-PG"
"The Wedding Ringer","Comedy","Jeremy Garelick","Jeremy Garelick","Affion Crockett","R"
"So Young","Drama","Wei Zhao","Yiwu Xin","Mark Chao",NA
"Very Big Shot","Action","Mir-Jean Bou Chaaya","Alain Saadeh","Alain Saadeh",NA
"Midnight Express","Biography","Alan Parker","Oliver Stone","Bo Hopkins","R"
"Jim Gaffigan: Cinco","Comedy","Jeannie Gaffigan","Jim Gaffigan","Jim Gaffigan","TV-14"
"Little Witch Academia","Animation",NA,NA,"Erica Mendez","TV-Y7"
"Marauders","Action","Steven C. Miller","Chris Sivertson","Bruce Willis","R"
"Monkey King: Hero Is Back","Animation","Tian Xiao Peng","Tian Xiao Peng","Wenlun Wu","PG"
"Under the Shadow","Drama","Babak Anvari","Babak Anvari","Narges Rashidi","PG-13"
"The 9th Life of Louis Drax","Mystery","Alexandre Aja","Liz Jensen","Beckham Skodje","R"
"One Day at a Time","Comedy",NA,"Gloria Calderon Kellett","Isabella Gomez","TV-PG"
"Star","Drama",NA,"Lee Daniels","Brittany O'Grady","TV-14"
"Insidious: Chapter 3","Horror","Leigh Whannell","Leigh Whannell","Stefanie Scott","PG-13"
"Roxanne","Comedy","Fred Schepisi","Steve Martin","Daryl Hannah","PG"
"Beyond","Drama",NA,"Adam Nussdorf","Jonathan Whitesell","TV-14"
"Genius","Biography","Michael Grandage","A. Scott Berg","Colin Firth","PG-13"
"Carol","Drama","Todd Haynes","Phyllis Nagy","Rooney Mara","R"
"Space Battleship Yamato 2199","Animation",NA,NA,"Mallorie Rodak","TV-14"
"Flags of Our Fathers","Action","Clint Eastwood","William Broyles Jr.","John Benjamin Hickey","R"
"Superman IV: The Quest for Peace","Action","Sidney J. Furie","Christopher Reeve","Christopher Reeve","PG"
"Menace II Society","Crime","Allen Hughes","Allen Hughes","Toshi Toda","R"
"The Last Shaman","Documentary","Raz Degan","Raz Degan","James Freeman",NA
"We Bare Bears","Animation","Bert Youn","Bert Youn","Eric Edelstein",NA
"Thomas and Friends: The Adventure Begins","Animation","Don Spencer","Andrew Brenner","Teresa Gallagher","NotRated"
